elapsed_s,wall_clock_utc,queue_depth,requests_in_flight,token_rate_output_per_s,token_rate_input_per_s,goodput_2xx_rps,shed_rps,error_5xx_rps,cpu_pct_inferops-gateway-signals,cpu_pct_inferops-gateway-signals-2,cpu_pct_inferops-mock-signals,cpu_pct_inferops-mock-signals-2
0.0,2026-07-12T02:31:00.577644Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.85,0.25,0.26
2.052,2026-07-12T02:31:02.629611Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.43,6.89,7.69,5.34
4.072,2026-07-12T02:31:04.649539Z,0.0,8.0,62.202711111111114,330.21042444444447,4.666666666666667,0.0,0.0,9.18,8.98,7.87,7.28
6.094,2026-07-12T02:31:06.671657Z,0.0,12.0,152.9348634920635,830.728253968254,19.289644444444445,0.0,0.0,8.52,9.35,7.59,6.63
8.116,2026-07-12T02:31:08.693385Z,0.0,10.0,246.32522222222224,1347.2977555555556,30.053422222222224,0.0,0.0,9.25,9.36,8.51,7.9
10.136,2026-07-12T02:31:10.712981Z,0.0,10.0,339.7141444444445,1864.3249777777778,41.3518,0.0,0.0,9.18,10.15,7.48,8.86
12.154,2026-07-12T02:31:12.731933Z,0.0,7.0,417.4819,2277.634666666667,51.13179166666667,0.0,0.0,8.96,8.38,7.11,6.78
14.173,2026-07-12T02:31:14.750493Z,0.0,8.0,426.6666666666667,2303.4444444444443,51.44444444444444,0.0,0.0,8.24,7.83,6.45,7.03
16.19,2026-07-12T02:31:16.767899Z,1.0,10.0,422.22222222222223,2293.3333333333335,51.66666666666667,0.0,0.0,7.46,7.76,6.64,5.77
18.215,2026-07-12T02:31:18.792105Z,0.0,6.0,413.0,2234.5555555555557,50.111111111111114,0.0,0.0,8.98,9.69,7.09,8.04
20.248,2026-07-12T02:31:20.825674Z,0.0,8.0,412.44444444444446,2247.666666666667,50.55555555555556,0.0,0.0,7.73,8.45,7.18,6.04
22.255,2026-07-12T02:31:22.832551Z,0.0,6.0,419.0,2330.5555555555557,52.00000000000001,0.0,0.0,7.49,7.5,6.9,6.92
24.272,2026-07-12T02:31:24.849812Z,1.0,10.0,389.33333333333337,2190.777777777778,49.44444444444444,0.0,0.0,7.42,6.88,6.31,6.33
26.289,2026-07-12T02:31:26.866756Z,0.0,8.0,388.44444444444446,2201.1111111111113,49.55555555555556,0.11111111111111112,0.11111111111111112,7.78,8.68,7.46,6.5
28.305,2026-07-12T02:31:28.882541Z,0.0,8.0,391.44444444444446,2210.1111111111113,50.0,0.11111111111111112,0.11111111111111112,6.77,8.56,5.72,5.6
30.322,2026-07-12T02:31:30.899501Z,0.0,5.0,380.33333333333337,2143.3333333333335,48.66666666666667,0.11111111111111112,0.11111111111111112,8.06,7.68,7.29,7.01
32.339,2026-07-12T02:31:32.916573Z,0.0,10.0,395.22222222222223,2195.3333333333335,49.66666666666667,0.11111111111111112,0.11111111111111112,6.92,7.8,5.16,6.57
34.357,2026-07-12T02:31:34.934269Z,0.0,9.0,404.5555555555556,2209.666666666667,49.66666666666667,0.0,0.0,8.64,8.1,7.46,8.02
36.378,2026-07-12T02:31:36.955043Z,0.0,9.0,419.0,2268.3333333333335,51.0,0.0,0.0,6.6,9.78,6.51,7.32
38.395,2026-07-12T02:31:38.972630Z,0.0,10.0,421.66666666666674,2262.3333333333335,50.777777777777786,0.0,0.0,6.88,8.08,5.68,6.97
40.415,2026-07-12T02:31:40.992253Z,0.0,7.0,426.7777777777778,2304.2222222222226,51.44444444444444,0.0,0.0,7.96,8.61,6.67,7.37
42.432,2026-07-12T02:31:43.009275Z,1.0,12.0,418.2222222222223,2283.3333333333335,51.333333333333336,0.0,0.0,7.16,9.76,6.57,7.07
44.449,2026-07-12T02:31:45.026044Z,0.0,8.0,405.44444444444446,2278.888888888889,51.333333333333336,0.0,0.0,6.24,5.71,4.91,4.95
46.464,2026-07-12T02:31:47.041730Z,0.0,4.0,385.6666666666667,2211.1111111111113,49.55555555555556,0.0,0.0,8.04,7.37,6.9,6.02
48.481,2026-07-12T02:31:49.058771Z,0.0,7.0,389.7777777777778,2239.0,49.77777777777778,0.0,0.0,6.76,6.46,6.24,4.52
50.504,2026-07-12T02:31:51.081762Z,0.0,10.0,380.34030476895555,2171.8489727928927,48.65327904250725,0.0,0.0,9.2,8.76,7.11,7.52
52.521,2026-07-12T02:31:53.098358Z,1.0,9.0,384.8888888888889,2118.4444444444443,47.66666666666667,0.0,0.0,5.67,5.57,4.67,4.33
54.537,2026-07-12T02:31:55.114579Z,0.0,5.0,373.8888888888889,2061.4444444444443,45.888888888888886,0.0,0.0,6.35,6.44,5.45,4.53
56.554,2026-07-12T02:31:57.131242Z,0.0,6.0,390.8888888888889,2134.888888888889,47.777777777777786,0.11111111111111112,0.11111111111111112,7.74,7.1,6.51,6.24
58.574,2026-07-12T02:31:59.151257Z,0.0,7.0,364.2222222222223,2035.7777777777778,45.44444444444444,0.11111111111111112,0.11111111111111112,7.54,8.27,5.29,7.69
60.587,2026-07-12T02:32:01.164681Z,0.0,7.0,396.44444444444446,2199.888888888889,48.333333333333336,0.11111111111111112,0.11111111111111112,4.91,4.64,4.46,4.3
62.605,2026-07-12T02:32:03.181975Z,0.0,6.0,378.8888888888889,2213.7777777777783,48.44444444444445,0.11111111111111112,0.11111111111111112,0.7,0.8,0.24,0.23
64.622,2026-07-12T02:32:05.199138Z,0.0,0.0,305.7777777777778,1754.4444444444446,38.77777777777778,0.0,0.0,0.72,0.6,0.2,0.19
66.639,2026-07-12T02:32:07.216515Z,0.0,0.0,231.00000000000003,1347.4444444444443,29.333333333333336,0.0,0.0,0.78,0.77,0.22,0.21
68.661,2026-07-12T02:32:09.237972Z,0.0,0.0,150.33333333333334,869.8888888888889,19.0,0.0,0.0,0.7,0.74,0.21,0.24
