elapsed_s,wall_clock_utc,queue_depth,requests_in_flight,token_rate_output_per_s,token_rate_input_per_s,goodput_2xx_rps,shed_rps,error_5xx_rps,cpu_pct_inferops-gateway-signals,cpu_pct_inferops-mock-signals
0.0,2026-07-12T02:29:45.901872Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.23
1.046,2026-07-12T02:29:46.947872Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.13,8.14
3.056,2026-07-12T02:29:48.958100Z,3.0,6.0,12.337200000000001,80.2386,0.0,1.1436666666666666,0.0,10.8,8.95
5.068,2026-07-12T02:29:50.969927Z,3.0,6.0,80.38842000000001,407.12960000000004,10.1435,3.8094,3.6799999999999997,11.54,8.48
7.079,2026-07-12T02:29:52.980491Z,1.0,6.0,145.16857142857143,733.4977285714285,17.404600000000002,7.240057142857143,7.183299999999999,12.39,9.44
9.092,2026-07-12T02:29:54.993588Z,2.0,6.0,203.433,1104.5539555555556,25.304999999999996,10.622955555555555,10.566616666666667,10.68,8.42
11.103,2026-07-12T02:29:57.004788Z,0.0,6.0,266.2194,1451.6752777777776,32.8589375,13.585133333333333,13.3562625,11.23,8.7
13.113,2026-07-12T02:29:59.014834Z,2.0,6.0,300.6666666666667,1606.1111111111113,36.22222222222222,15.000000000000002,15.000000000000002,12.62,8.72
15.126,2026-07-12T02:30:01.027257Z,2.0,6.0,301.33333333333337,1629.4444444444446,36.44444444444445,14.222222222222223,14.222222222222223,11.38,6.22
17.137,2026-07-12T02:30:03.038310Z,1.0,6.0,296.5555555555556,1626.5555555555557,36.77777777777778,13.777777777777779,13.777777777777779,12.09,8.71
19.147,2026-07-12T02:30:05.048366Z,3.0,6.0,300.5555555555556,1626.0,36.44444444444445,13.88888888888889,13.88888888888889,12.01,11.09
21.176,2026-07-12T02:30:07.077922Z,3.0,6.0,298.8888888888889,1629.1111111111113,36.55555555555556,14.555555555555557,14.555555555555557,13.35,11.08
23.168,2026-07-12T02:30:09.069842Z,1.0,6.0,299.22222222222223,1631.3333333333335,36.77777777777778,14.88888888888889,14.88888888888889,13.08,8.6
25.181,2026-07-12T02:30:11.082762Z,0.0,6.0,290.44444444444446,1631.6666666666667,36.77777777777778,13.000000000000002,13.000000000000002,11.19,7.8
27.19,2026-07-12T02:30:13.091343Z,3.0,6.0,288.77777777777777,1627.3333333333335,36.66666666666667,13.333333333333334,13.333333333333334,11.11,7.01
29.201,2026-07-12T02:30:15.102522Z,2.0,6.0,289.5555555555556,1623.7777777777778,36.66666666666667,14.444444444444445,14.444444444444445,12.71,7.52
31.211,2026-07-12T02:30:17.112984Z,3.0,6.0,289.0,1604.7777777777778,36.55555555555556,12.777777777777779,12.777777777777779,11.8,8.01
33.222,2026-07-12T02:30:19.123586Z,0.0,5.0,293.8888888888889,1615.5555555555557,36.333333333333336,13.88888888888889,13.88888888888889,12.03,8.88
35.232,2026-07-12T02:30:21.133734Z,2.0,6.0,302.44444444444446,1653.4444444444446,36.77777777777778,14.222222222222223,14.222222222222223,10.94,10.04
37.241,2026-07-12T02:30:23.142908Z,2.0,6.0,304.11111111111114,1617.1111111111113,36.111111111111114,16.11111111111111,16.11111111111111,11.5,7.48
39.25,2026-07-12T02:30:25.151240Z,1.0,6.0,308.6666666666667,1629.5555555555557,36.55555555555556,14.555555555555557,14.555555555555557,11.17,12.15
41.261,2026-07-12T02:30:27.162635Z,1.0,6.0,310.0077751860491,1656.4478507164279,37.20981894923915,15.661446184605133,15.661446184605133,10.76,9.39
43.271,2026-07-12T02:30:29.173066Z,2.0,6.0,306.5555555555556,1656.3333333333335,37.22222222222222,14.777777777777779,14.777777777777779,12.08,8.5
45.282,2026-07-12T02:30:31.183342Z,0.0,6.0,301.44444444444446,1674.5555555555557,37.88888888888889,12.777777777777779,12.777777777777779,10.59,10.02
47.291,2026-07-12T02:30:33.192549Z,2.0,6.0,301.22222222222223,1676.7777777777778,38.111111111111114,11.333333333333334,11.333333333333334,10.39,6.61
49.299,2026-07-12T02:30:35.200985Z,3.0,6.0,299.6666666666667,1698.888888888889,38.111111111111114,10.88888888888889,10.88888888888889,9.81,6.69
51.308,2026-07-12T02:30:37.209940Z,0.0,6.0,297.22222222222223,1662.5555555555557,37.55555555555556,11.111111111111112,11.111111111111112,10.85,9.51
