elapsed_s,wall_clock_utc,queue_depth,requests_in_flight,token_rate_output_per_s,token_rate_input_per_s,goodput_2xx_rps,shed_rps,error_5xx_rps,cpu_pct_inferops-gateway-signals,cpu_pct_inferops-mock-signals
0.0,2026-07-12T02:25:06.470106Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.27
1.046,2026-07-12T02:25:07.515719Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.64,1.17
3.054,2026-07-12T02:25:09.524109Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.28,1.68
5.063,2026-07-12T02:25:11.532538Z,0.0,0.0,7.562519999999999,68.54566666666666,1.5030000000000001,0.0,0.0,2.95,2.94
7.074,2026-07-12T02:25:13.543726Z,0.0,2.0,24.8372,150.043425,3.41085,0.0,0.0,4.07,3.71
9.083,2026-07-12T02:25:15.552916Z,0.0,1.0,44.40828888888889,261.03653333333335,5.720699999999999,0.0,0.0,3.63,3.4
11.094,2026-07-12T02:25:17.564376Z,0.0,1.0,58.82137777777778,339.21405555555555,7.4310624999999995,0.0,0.0,1.63,1.37
13.105,2026-07-12T02:25:19.574588Z,0.0,0.0,69.608,376.22222222222223,8.333333333333334,0.0,0.0,2.86,2.31
15.115,2026-07-12T02:25:21.584812Z,0.0,2.0,67.66666666666667,361.7777777777778,8.222222222222221,0.0,0.0,3.57,3.46
17.123,2026-07-12T02:25:23.593289Z,0.0,1.0,64.55555555555556,356.22222222222223,8.222222222222223,0.0,0.0,3.87,3.75
19.137,2026-07-12T02:25:25.606413Z,0.0,1.0,63.111111111111114,325.11111111111114,7.777777777777779,0.0,0.0,1.7,1.47
21.147,2026-07-12T02:25:27.616812Z,0.0,0.0,56.66666666666667,304.22222222222223,7.111111111111112,0.0,0.0,2.74,2.47
23.159,2026-07-12T02:25:29.629050Z,0.0,1.0,59.88888888888889,333.00000000000006,7.777777777777779,0.0,0.0,2.95,3.03
25.169,2026-07-12T02:25:31.638961Z,0.0,2.0,66.44444444444444,333.33333333333337,7.777777777777779,0.0,0.0,2.11,1.72
27.178,2026-07-12T02:25:33.647525Z,0.0,0.0,68.0,343.33333333333337,7.888888888888889,0.0,0.0,2.7,2.39
29.187,2026-07-12T02:25:35.657086Z,0.0,1.0,63.55555555555556,328.22222222222223,7.444444444444445,0.0,0.0,3.44,3.16
31.197,2026-07-12T02:25:37.667364Z,0.0,2.0,69.55555555555556,368.44444444444446,8.111111111111112,0.0,0.0,2.7,1.94
33.211,2026-07-12T02:25:39.681073Z,0.0,0.0,65.11111111111111,376.0,8.222222222222223,0.0,0.0,1.8,1.53
35.221,2026-07-12T02:25:41.691124Z,0.0,1.0,58.333333333333336,346.33333333333337,7.777777777777779,0.0,0.0,2.0,1.55
37.231,2026-07-12T02:25:43.701156Z,0.0,0.0,58.22222222222223,356.44444444444446,7.888888888888889,0.0,0.0,3.66,3.52
39.242,2026-07-12T02:25:45.711562Z,0.0,2.0,66.8888888888889,366.11111111111114,8.333333333333334,0.0,0.0,3.11,2.66
41.255,2026-07-12T02:25:47.725231Z,0.0,1.0,64.22222222222223,364.8888888888889,8.222222222222223,0.0,0.0,4.66,4.31
