phase,n,unix_ts,http_code,wall_seconds
before,1,1783821161,200,0.121
before,2,1783821162,200,0.121
before,3,1783821162,200,0.120
before,4,1783821162,200,0.120
before,5,1783821162,200,0.121
before,6,1783821162,200,0.120
before,7,1783821162,200,0.121
before,8,1783821163,200,0.121
before,9,1783821163,200,0.121
before,10,1783821163,200,0.120
during,1,1783821163,200,0.121
during,2,1783821163,200,0.121
during,3,1783821164,200,0.121
during,4,1783821164,200,0.120
during,5,1783821164,200,0.121
during,6,1783821164,200,0.121
during,7,1783821164,200,0.121
during,8,1783821164,200,0.121
during,9,1783821165,200,0.120
during,10,1783821165,200,0.121
during,11,1783821165,200,0.120
during,12,1783821165,200,0.121
during,13,1783821165,200,0.120
during,14,1783821165,200,0.121
during,15,1783821165,200,0.121
after,1,1783821166,200,0.120
after,2,1783821166,200,0.123
after,3,1783821166,200,0.120
after,4,1783821166,200,0.120
after,5,1783821167,200,0.121
after,6,1783821167,200,0.121
after,7,1783821167,200,0.120
after,8,1783821167,200,0.121
after,9,1783821167,200,0.121
after,10,1783821167,200,0.121
