t_ms,http_code,wall_ms
8,200,122
316,200,121
618,200,121
919,200,121
1221,200,121
1523,000,3016
4719,200,120
5020,200,120
5319,200,121
5620,200,121
5922,200,120
6222,200,120
6523,200,121
6832,200,121
7136,200,135
7454,200,121
7755,200,120
8056,200,122
8360,200,121
8661,200,120
8963,200,120
9265,200,121
9568,200,120
9869,200,122
10172,200,121
10475,200,121
10775,200,120
11079,200,121
11381,200,120
11681,200,121
11983,200,120
12285,200,120
12585,200,121
12886,200,122
13208,200,121
13509,200,120
13810,200,123
14114,200,121
14415,200,120
14715,200,120
